reg_no,ngo_name,year,total_income,total_expenditure,program_expense,admin_expense,salaries,assets,liabilities,inventory_value,program_ratio,admin_ratio,surplus_ratio,health_score,name,reg_type,address,state,district,contact_name,contact_email,area_of_work
REG10001,Smile Foundation,2023,223000,198000,123000,75000,31000,352000,76000,62110,0.6212121212121212,0.3787878787878788,0.11210762331838565,60.17,Smile Foundation,Society,"1 / Main Road, Mumbai, Maharashtra",Maharashtra,Mumbai,Contact 1,contact1@smilefoundation.org,Education
REG10002,Akshaya Patra Foundation,2023,170000,148000,115000,33000,12000,137000,41000,5403,0.777027027027027,0.22297297297297297,0.12941176470588237,71.33,Akshaya Patra Foundation,Trust,"2 / Main Road, Bengaluru, Karnataka",Karnataka,Bengaluru,Contact 2,contact2@akshayapatrafoundation.org,Health
REG10003,Goonj,2023,1181000,1015000,640000,375000,133000,1392000,601000,194110,0.6305418719211823,0.3694581280788177,0.14055884843353092,61.25,Goonj,Section 8 Company,"3 / Main Road, New Delhi, Delhi",Delhi,New Delhi,Contact 3,contact3@goonj.org,Livelihood
REG10004,CRY (Child Rights and You),2023,3905000,3410000,2882000,528000,237000,5183000,650000,577216,0.8451612903225807,0.15483870967741936,0.1267605633802817,76.06,CRY (Child Rights and You),Society,"4 / Main Road, Chennai, Tamil Nadu",Tamil Nadu,Chennai,Contact 4,contact4@crychildrightsandyou.org,Child Welfare
REG10005,Magic Bus,2023,762000,652000,492000,160000,52000,1350000,625000,91058,0.754601226993865,0.24539877300613497,0.14435695538057744,69.99,Magic Bus,Trust,"5 / Main Road, Lucknow, Uttar Pradesh",Uttar Pradesh,Lucknow,Contact 5,contact5@magicbus.org,Women Empowerment
REG10006,HelpAge India,2023,409000,421000,264000,157000,38000,438000,119000,173724,0.6270783847980997,0.37292161520190026,-0.029339853300733496,58.46,HelpAge India,Society,"6 / Main Road, Kolkata, West Bengal",West Bengal,Kolkata,Contact 6,contact6@helpageindia.org,Disaster Relief
REG10007,Pratham Education Foundation,2023,289000,274000,170000,104000,33000,171000,59000,71592,0.6204379562043796,0.3795620437956204,0.05190311418685121,59.21,Pratham Education Foundation,Trust,"7 / Main Road, Ahmedabad, Gujarat",Gujarat,Ahmedabad,Contact 7,contact7@prathameducationfoundation.org,Education
REG10008,Teach For India,2023,3259000,3119000,1672000,1447000,773000,4243000,741000,123425,0.5360692529656942,0.46393074703430587,0.04295796256520405,53.17,Teach For India,Section 8 Company,"8 / Main Road, Jaipur, Rajasthan",Rajasthan,Jaipur,Contact 8,contact8@teachforindia.org,Health
REG10009,SEWA Bharat,2023,883000,796000,608000,188000,99000,1667000,520000,108327,0.7638190954773869,0.23618090452261306,0.0985277463193658,69.95,SEWA Bharat,Society,"9 / Main Road, Hyderabad, Telangana",Telangana,Hyderabad,Contact 9,contact9@sewabharat.org,Livelihood
REG10010,Oxfam India,2023,587000,511000,391000,120000,24000,529000,169000,179928,0.7651663405088063,0.23483365949119372,0.12947189097103917,70.5,Oxfam India,Trust,"10 / Main Road, Bhubaneswar, Odisha",Odisha,Bhubaneswar,Contact 10,contact10@oxfamindia.org,Child Welfare
REG10011,CARE India,2023,9744000,9048000,7752000,1296000,586000,24234000,7296000,2686477,0.8567639257294429,0.14323607427055704,0.07142857142857142,76.04,CARE India,Section 8 Company,"11 / Main Road, Mumbai, Maharashtra",Maharashtra,Mumbai,Contact 11,contact11@careindia.org,Sanitation
REG10012,Save the Children India,2023,9683000,10097000,8494000,1603000,509000,14164000,6239000,1737922,0.8412399722689908,0.15876002773100922,-0.04275534441805225,73.25,Save the Children India,Trust,"12 / Main Road, Bengaluru, Karnataka",Karnataka,Bengaluru,Contact 12,contact12@savethechildrenindia.org,Education
REG10013,Plan India,2023,392000,356000,293000,63000,33000,1046000,487000,94498,0.8230337078651685,0.17696629213483145,0.09183673469387756,73.99,Plan India,Society,"13 / Main Road, New Delhi, Delhi",Delhi,New Delhi,Contact 13,contact13@planindia.org,Rural Development
REG10014,SOS Children's Villages India,2023,3056000,2616000,1347000,1269000,671000,4280000,646000,708090,0.5149082568807339,0.48509174311926606,0.14397905759162305,53.2,SOS Children's Villages India,Trust,"14 / Main Road, Chennai, Tamil Nadu",Tamil Nadu,Chennai,Contact 14,contact14@soschildrensvillagesindia.org,Environment
REG10015,Bhumi,2023,467000,404000,206000,198000,116000,1210000,458000,87384,0.5099009900990099,0.4900990099009901,0.1349036402569593,52.72,Bhumi,Section 8 Company,"15 / Main Road, Lucknow, Uttar Pradesh",Uttar Pradesh,Lucknow,Contact 15,contact15@bhumi.org,Livelihood
REG10016,GiveIndia Foundation,2023,770000,657000,359000,298000,65000,463000,205000,235046,0.5464231354642314,0.4535768645357686,0.14675324675324675,55.45,GiveIndia Foundation,Society,"16 / Main Road, Kolkata, West Bengal",West Bengal,Kolkata,Contact 16,contact16@giveindiafoundation.org,Women Empowerment
REG10017,Akshaya Trust,2023,3379000,2982000,1575000,1407000,643000,1913000,640000,822411,0.528169014084507,0.47183098591549294,0.11749038176975436,53.73,Akshaya Trust,Trust,"17 / Main Road, Ahmedabad, Gujarat",Gujarat,Ahmedabad,Contact 17,contact17@akshayatrust.org,Health
REG10018,SNEHA,2023,1176000,1075000,901000,174000,36000,2983000,635000,82473,0.838139534883721,0.16186046511627908,0.0858843537414966,74.96,SNEHA,Society,"18 / Main Road, Jaipur, Rajasthan",Rajasthan,Jaipur,Contact 18,contact18@sneha.org,Education
REG10019,Sakhi NGO,2023,9342000,9545000,6410000,3135000,1569000,22293000,3149000,4326036,0.6715557883708748,0.3284442116291252,-0.02172982230785699,61.68,Sakhi NGO,Trust,"19 / Main Road, Hyderabad, Telangana",Telangana,Hyderabad,Contact 19,contact19@sakhiongo.org,Child Welfare
REG10020,Youth for Seva,2023,1643000,1505000,1157000,348000,174000,4073000,1694000,95987,0.7687707641196013,0.23122923588039868,0.08399269628727937,70.07,Youth for Seva,Section 8 Company,"20 / Main Road, Bhubaneswar, Odisha",Odisha,Bhubaneswar,Contact 20,contact20@youthforseva.org,Women Empowerment
REG10021,Navjeevan Trust,2023,831000,824000,439000,385000,90000,2465000,616000,163076,0.5327669902912622,0.4672330097087379,0.00842358604091456,52.42,Navjeevan Trust,Society,"21 / Main Road, Mumbai, Maharashtra",Maharashtra,Mumbai,Contact 21,contact21@navjeevantrust.org,Sanitation
REG10022,Prayas,2023,103000,90000,49000,41000,19000,244000,81000,43366,0.5444444444444444,0.45555555555555555,0.1262135922330097,55.0,Prayas,Trust,"22 / Main Road, Bengaluru, Karnataka",Karnataka,Bengaluru,Contact 22,contact22@prayas.org,Education
REG10023,Pollinate Energy,2023,6479000,6409000,4370000,2039000,920000,12704000,5850000,267988,0.6818536433140896,0.31814635668591046,0.010804136440808767,62.89,Pollinate Energy,Section 8 Company,"23 / Main Road, New Delhi, Delhi",Delhi,New Delhi,Contact 23,contact23@pollinateenergy.org,Environment
REG10024,Jan Sahas,2023,280000,255000,211000,44000,21000,254000,118000,105779,0.8274509803921568,0.17254901960784313,0.08928571428571429,74.26,Jan Sahas,Society,"24 / Main Road, Chennai, Tamil Nadu",Tamil Nadu,Chennai,Contact 24,contact24@jansahas.org,Livelihood
REG10025,Gram Vikas,2023,486000,495000,413000,82000,32000,747000,156000,23295,0.8343434343434344,0.16565656565656567,-0.018518518518518517,73.13,Gram Vikas,Trust,"25 / Main Road, Lucknow, Uttar Pradesh",Uttar Pradesh,Lucknow,Contact 25,contact25@gramvikas.org,Rural Development
REG10026,Bachpan Bachao Andolan,2023,344000,335000,215000,120000,29000,750000,231000,130889,0.6417910447761194,0.3582089552238806,0.02616279069767442,60.32,Bachpan Bachao Andolan,Society,"26 / Main Road, Kolkata, West Bengal",West Bengal,Kolkata,Contact 26,contact26@bachpanbachaoandolan.org,Child Welfare
REG10027,Aga Khan Rural Support Programme India,2023,383000,371000,244000,127000,48000,1057000,253000,98951,0.6576819407008087,0.3423180592991914,0.031331592689295036,61.51,Aga Khan Rural Support Programme India,Trust,"27 / Main Road, Ahmedabad, Gujarat",Gujarat,Ahmedabad,Contact 27,contact27@agrspi.org,Sanitation
REG10028,Katha,2023,278000,241000,133000,108000,27000,245000,38000,78956,0.5518672199170125,0.44813278008298757,0.13309352517985612,55.63,Katha,Section 8 Company,"28 / Main Road, Jaipur, Rajasthan",Rajasthan,Jaipur,Contact 28,contact28@katha.org,Education
REG10029,Samarthanam Trust,2023,2460000,2270000,1592000,678000,323000,1472000,618000,729560,0.7013215859030837,0.2986784140969163,0.07723577235772358,65.25,Samarthanam Trust,Trust,"29 / Main Road, Hyderabad, Telangana",Telangana,Hyderabad,Contact 29,contact29@samarthanamtrust.org,Disaster Relief
